Source	Target	Weight	to_first	time_diff	seq_diff	timestamp	tid
2	575	0.99495	False	1212	1	1431344	314
2	597	0.96169	False	9388	9	1868273	644
2	597	0.5	True	11329	2	1433278	303
2	597	0.95399	False	11329	2	1433278	303
2	605	0.74003	False	74450	6	1975034	634
2	613	0.5	True	90663	9	2593579	1135
2	613	0.99271	False	1753	1	2593579	1135
2	613	0.98951	False	2528	3	2593579	1135
2	613	0.95844	False	10206	5	2593579	1135
2	613	0.69506	False	90663	9	2593579	1135
2	623	0.91145	False	22404	7	2593579	1135
2	626	0.5	True	1431	1	2654917	1268
2	626	0.99405	False	1431	1	2654917	1268
2	630	0.5	True	662	1	2575883	1201
2	630	0.99724	False	662	1	2575883	1201
2	631	0.5	True	2855	1	1557417	414
2	631	0.98816	False	2855	1	1557417	414
2	678	0.96464	False	8651	2	1522442	359
2	686	0.5	True	9789	1	1688227	508
2	686	0.9601	False	9789	1	1688227	508
2	696	0.5	True	15795	1	1546097	392
2	696	0.93656	False	15795	1	1546097	392
2	706	0.5	True	111156	8	2238629	850
2	706	0.5	True	16027	4	2143500	850
2	706	0.95035	False	12255	2	2143500	850
2	706	0.93566	False	16027	4	2143500	850
2	712	0.2	False	615577	4	2164768	297
2	739	0.5	True	10758	1	1951218	720
2	739	0.95625	False	10758	1	1951218	720
2	763	0.2	False	1036922	10	2654957	326
2	763	0.9417	False	14467	1	1908405	666
2	763	0.5	True	203	1	1885281	670
2	763	0.99915	False	203	1	1885281	670
2	767	0.97247	False	6702	1	2166771	880
2	776	0.77623	False	62286	3	2396748	1015
2	776	0.9687	False	7637	1	2238629	850
2	776	0.9842	False	3820	1	2143500	850
2	792	0.99118	False	2124	2	2593579	1135
2	792	0.97776	False	5398	4	2593579	1135
2	792	0.91204	False	22245	6	2593579	1135
2	792	0.98369	False	3945	1	2574738	1112
2	792	0.93766	False	15508	3	2143500	850
2	792	0.97172	False	6887	1	2035093	786
2	792	0.96242	False	9205	2	1818347	601
2	794	0.5	True	1620	14	1634406	455
2	806	0.2	False	1011509	6	2654957	326
2	807	0.2	False	1007995	5	2654957	326
2	807	0.5	True	156410	3	2166847	774
2	807	0.54563	False	156410	3	2166847	774
2	807	0.5	True	2352	3	1908702	686
2	807	0.99903	False	232	1	1908702	686
2	807	0.5	True	25545	2	1908405	666
2	807	0.8998	False	25545	2	1908405	666
2	807	0.5	True	1673	1	1908023	686
2	807	0.99304	False	1673	1	1908023	686
2	807	0.5	True	63597	7	1720359	487
2	807	0.96514	False	8524	1	1720359	487
2	807	0.5	True	31177	5	1687939	487
2	807	0.95772	False	10388	1	1687939	487
2	807	0.91134	False	22432	3	1687939	487
2	807	0.87937	False	31177	5	1687939	487
2	823	0.5	True	46539	4	2230491	900
2	823	0.5	True	23795	1	2207747	900
2	823	0.90627	False	23795	1	2207747	900
2	842	0.97238	False	6724	1	2166847	774
2	842	0.95589	False	10848	3	2166771	880
2	844	0.98791	False	2917	1	2387093	1055
2	844	0.5	True	11293	5	2387050	1053
2	844	0.98245	False	4247	1	2387050	1053
2	844	0.5	True	3941	2	2379698	1053
2	844	0.9837	False	3941	2	2379698	1053
2	844	0.5	True	391144	1	2166616	580
2	844	0.27905	False	391144	1	2166616	580
2	852	0.23386	False	485421	10	2640911	827
2	859	0.5	True	5049	3	2237340	946
2	859	0.99621	False	909	1	2237340	946
2	859	0.97918	False	5049	3	2237340	946
2	866	0.72585	False	79425	8	1975034	634
2	880	0.5	True	263	1	1825463	622
2	880	0.9989	False	263	1	1825463	622
2	881	0.5	True	404069	1	2166632	575
2	881	0.27153	False	404069	1	2166632	575
2	897	0.5	True	18643	4	1818347	601
2	897	0.5	True	9372	1	1809076	601
2	897	0.96176	False	9372	1	1809076	601
2	918	0.9923	False	1852	1	1818347	601
2	942	0.5	True	48371	7	2566047	1144
2	942	0.94792	False	12873	2	2566047	1144
2	942	0.94707	False	13090	3	2566047	1144
2	942	0.94188	False	14420	4	2566047	1144
2	942	0.88554	False	29459	5	2566047	1144
2	942	0.8204	False	48371	7	2566047	1144
2	942	0.5	True	7124	2	2035093	786
2	942	0.97077	False	7124	2	2035093	786
2	943	0.5	True	10358	14	1868273	644
2	943	0.96256	False	9170	8	1868273	644
